region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue
NA,2025-03-01,Offsite,Open Auction,DM Network,Web+App,70068.649393218526
NA,2025-02-01,Onsite,Open Auction,DM Network,Web+App,433113.43282584386
NA,2025-02-01,Offsite,Open Auction,DM Network,Web+App,37850.5412737629
NA,2025-01-01,Offsite,Open Auction,DM Network,Web+App,45023.578183142847
NA,2025-06-01,Onsite,Open Auction,DM Network,Web+App,509294.43775204325
NA,2025-04-01,Offsite,Open Auction,DM Network,Web+App,75630.907280503627
NA,2025-04-01,Onsite,Open Auction,DM Network,Web+App,321644.33179683262
NA,2025-07-01,Onsite,Open Auction,DM Network,Web+App,328879.73205441906
NA,2025-06-01,Offsite,Open Auction,DM Network,Web+App,125394.99883981734
NA,2025-01-01,Onsite,Open Auction,DM Network,Web+App,434664.57164777769
,2025-02-01,Offsite,Other,DM Network,Web+App,0.014760438718022344
,2025-01-01,Offsite,Other,DM Network,Web+App,0.049479052267974076
,2025-04-01,Offsite,Other,DM Network,Web+App,0.02185
,2025-02-01,Onsite,Other,DM Network,Web+App,0.0057351569999999994
,2025-03-01,Onsite,Other,DM Network,Web+App,0.0015282595898194174
,2025-01-01,Onsite,Other,DM Network,Web+App,0.037718816999999988
,2025-05-01,Offsite,Other,DM Network,Web+App,0.0075000000000000006
,2025-06-01,Offsite,Other,DM Network,Web+App,0.22669999999999998
,2025-05-01,Onsite,Other,DM Network,Web+App,0.010499999999999999
,2025-03-01,Offsite,Other,DM Network,Web+App,0.0304939535763101
,2025-07-01,Onsite,Other,DM Network,Web+App,24.017992783699924
,2025-07-01,Offsite,Other,DM Network,Web+App,0.0484
APAC,2025-04-01,Offsite,Other,DM Network,Web+App,298.207401600808
APAC,2025-05-01,Offsite,Other,DM Network,Web+App,47.750516414491258
APAC,2025-01-01,Onsite,Other,DM Network,Web+App,3697.2935576662944
APAC,2025-06-01,Onsite,Other,DM Network,Web+App,12701.709485764553
APAC,2025-06-01,Offsite,Other,DM Network,Web+App,48.326005837000018
APAC,2025-03-01,Offsite,Other,DM Network,Web+App,156.65870631822634
APAC,2025-03-01,Onsite,Other,DM Network,Web+App,6941.2134990682289
APAC,2025-02-01,Offsite,Other,DM Network,Web+App,251.80011971304884
APAC,2025-07-01,Onsite,Other,DM Network,Web+App,4534.0383828555869
APAC,2025-02-01,Onsite,Other,DM Network,Web+App,3408.8689328064206
APAC,2025-05-01,Onsite,Other,DM Network,Web+App,4639.8455274693715
APAC,2025-04-01,Onsite,Other,DM Network,Web+App,4209.3677805555863
APAC,2025-01-01,Offsite,Other,DM Network,Web+App,313.0779629731054
APAC,2025-07-01,Offsite,Other,DM Network,Web+App,40.959907399000009
EMEA,2025-04-01,Offsite,Other,DM Network,Web+App,80311.933492072363
EMEA,2025-07-01,Offsite,Other,DM Network,Web+App,50203.236759288826
EMEA,2025-02-01,Onsite,Other,DM Network,Web+App,230541.99715487941
EMEA,2025-04-01,Onsite,Other,DM Network,Web+App,92687.157429802712
EMEA,2025-06-01,Onsite,Other,DM Network,Web+App,164920.59815135444
EMEA,2025-03-01,Offsite,Other,DM Network,Web+App,100605.59267172351
EMEA,2025-05-01,Offsite,Other,DM Network,Web+App,63480.394392917915
EMEA,2025-07-01,Onsite,Other,DM Network,Web+App,103596.59929747878
EMEA,2025-01-01,Onsite,Other,DM Network,Web+App,238237.46095591021
EMEA,2025-01-01,Offsite,Other,DM Network,Web+App,95345.2940519874
EMEA,2025-05-01,Onsite,Other,DM Network,Web+App,123188.91805907746
EMEA,2025-06-01,Offsite,Other,DM Network,Web+App,90080.191416975853
EMEA,2025-03-01,Onsite,Other,DM Network,Web+App,234527.0067388498
EMEA,2025-02-01,Offsite,Other,DM Network,Web+App,107148.05109300553
France,2025-04-01,Offsite,Other,DM Network,Web+App,20656.533996407419
France,2025-06-01,Onsite,Other,DM Network,Web+App,86.615891957999764
France,2025-01-01,Offsite,Other,DM Network,Web+App,8482.50380996073
France,2025-02-01,Offsite,Other,DM Network,Web+App,8028.5899137445294
France,2025-06-01,Offsite,Other,DM Network,Web+App,32422.615275008338
France,2025-05-01,Offsite,Other,DM Network,Web+App,14301.397339770934
France,2025-07-01,Onsite,Other,DM Network,Web+App,16.943736797663455
France,2025-07-01,Offsite,Other,DM Network,Web+App,16037.358335490182
France,2025-04-01,Onsite,Other,DM Network,Web+App,604.06019363269331
France,2025-01-01,Onsite,Other,DM Network,Web+App,162.03359662567183
France,2025-03-01,Onsite,Other,DM Network,Web+App,472.04982223969449
France,2025-02-01,Onsite,Other,DM Network,Web+App,223.10590344063715
France,2025-05-01,Onsite,Other,DM Network,Web+App,618.0060074199979
France,2025-03-01,Offsite,Other,DM Network,Web+App,11236.407613673964
LATAM,2025-04-01,Onsite,Other,DM Network,Web+App,5.2528481010000014
LATAM,2025-01-01,Onsite,Other,DM Network,Web+App,357.16716374984065
LATAM,2025-05-01,Offsite,Other,DM Network,Web+App,0.92517924800000062
LATAM,2025-05-01,Onsite,Other,DM Network,Web+App,3.8679764229999996
LATAM,2025-02-01,Onsite,Other,DM Network,Web+App,1208.0439861326981
LATAM,2025-06-01,Offsite,Other,DM Network,Web+App,2.466746308
LATAM,2025-01-01,Offsite,Other,DM Network,Web+App,1269.685326073198
LATAM,2025-07-01,Offsite,Other,DM Network,Web+App,0.21919999999999995
